Date,frbsf_sentiment,epu_index,epu_overall,epu_monetary,epu_fiscal,epu_taxes,epu_govt_spending,epu_healthcare,epu_national_security,epu_entitlement,epu_regulation,epu_financial_reg,epu_trade,epu_sovereign_debt
2009-08-17,,81.58142857142857,81.88142303,46.04740416,70.91820288,74.41968464,54.11112599,148.9590594,33.55575761,94.6600582,93.82413888,135.2418014,26.62323301,47.74432769
2009-08-24,,87.04428571428572,81.88142303,46.04740416,70.91820288,74.41968464,54.11112599,148.9590594,33.55575761,94.6600582,93.82413888,135.2418014,26.62323301,47.74432769
2009-08-31,-0.315,69.52714285714285,81.88142303,46.04740416,70.91820288,74.41968464,54.11112599,148.9590594,33.55575761,94.6600582,93.82413888,135.2418014,26.62323301,47.74432769
2009-09-07,-0.12166666666666666,118.57000000000001,77.22976889,71.18106653,74.99486528,74.99872142,58.12329957,148.6733362,47.19138514,71.78469661,113.9239877,96.5967726,10.56428132,12.99104671
2009-09-14,,78.33285714285715,77.22976889,71.18106653,74.99486528,74.99872142,58.12329957,148.6733362,47.19138514,71.78469661,113.9239877,96.5967726,10.56428132,12.99104671
2009-09-21,,92.58714285714287,77.22976889,71.18106653,74.99486528,74.99872142,58.12329957,148.6733362,47.19138514,71.78469661,113.9239877,96.5967726,10.56428132,12.99104671
2009-09-28,-0.325,96.50857142857144,77.22976889,71.18106653,74.99486528,74.99872142,58.12329957,148.6733362,47.19138514,71.78469661,113.9239877,96.5967726,10.56428132,12.99104671
2009-10-05,-0.1957142857142857,73.44285714285715,71.23211823,30.44925687,82.66067952,85.50405304,71.48950679,139.6667865,23.73711698,84.68709334,108.0717751,107.2440823,13.89402407,24.40811234
2009-10-12,0.02,72.82,71.23211823,30.44925687,82.66067952,85.50405304,71.48950679,139.6667865,23.73711698,84.68709334,108.0717751,107.2440823,13.89402407,24.40811234
2009-10-19,,78.66285714285716,71.23211823,30.44925687,82.66067952,85.50405304,71.48950679,139.6667865,23.73711698,84.68709334,108.0717751,107.2440823,13.89402407,24.40811234
2009-10-26,-0.38,95.35142857142857,71.23211823,30.44925687,82.66067952,85.50405304,71.48950679,139.6667865,23.73711698,84.68709334,108.0717751,107.2440823,13.89402407,24.40811234
2009-11-02,-0.29714285714285715,138.24714285714285,101.9499689,108.7670688,99.65551906,103.7842741,73.37784111,171.6158914,64.52554477,103.891897,107.6249128,143.9697762,25.44941317,91.27855519
2009-11-09,-0.055,93.62285714285713,101.9499689,108.7670688,99.65551906,103.7842741,73.37784111,171.6158914,64.52554477,103.891897,107.6249128,143.9697762,25.44941317,91.27855519
2009-11-16,,95.86571428571428,101.9499689,108.7670688,99.65551906,103.7842741,73.37784111,171.6158914,64.52554477,103.891897,107.6249128,143.9697762,25.44941317,91.27855519
2009-11-23,,111.98714285714284,101.9499689,108.7670688,99.65551906,103.7842741,73.37784111,171.6158914,64.52554477,103.891897,107.6249128,143.9697762,25.44941317,91.27855519
2009-11-30,-0.3233333333333333,129.16714285714284,101.9499689,108.7670688,99.65551906,103.7842741,73.37784111,171.6158914,64.52554477,103.891897,107.6249128,143.9697762,25.44941317,91.27855519
2009-12-07,-0.12833333333333333,137.9257142857143,110.5395416,71.07693765,127.9364768,133.7648379,85.72867899,210.3347391,68.88681218,148.0148696,216.0605594,256.5825932,23.41649551,6.54445385
2009-12-14,,119.70714285714287,110.5395416,71.07693765,127.9364768,133.7648379,85.72867899,210.3347391,68.88681218,148.0148696,216.0605594,256.5825932,23.41649551,6.54445385
2009-12-21,,143.69714285714286,110.5395416,71.07693765,127.9364768,133.7648379,85.72867899,210.3347391,68.88681218,148.0148696,216.0605594,256.5825932,23.41649551,6.54445385
2009-12-28,0.0,139.03571428571428,110.5395416,71.07693765,127.9364768,133.7648379,85.72867899,210.3347391,68.88681218,148.0148696,216.0605594,256.5825932,23.41649551,6.54445385
2010-01-04,-0.1542857142857143,145.25285714285715,134.1794819,107.869463,166.646371,176.3854119,181.0586593,351.853586,95.22423425,201.1350001,197.5788376,195.9297606,88.89479261,24.84436099
2010-01-11,-0.11499999999999999,91.09428571428573,134.1794819,107.869463,166.646371,176.3854119,181.0586593,351.853586,95.22423425,201.1350001,197.5788376,195.9297606,88.89479261,24.84436099
2010-01-18,,160.79142857142855,134.1794819,107.869463,166.646371,176.3854119,181.0586593,351.853586,95.22423425,201.1350001,197.5788376,195.9297606,88.89479261,24.84436099
2010-01-25,,223.94285714285715,134.1794819,107.869463,166.646371,176.3854119,181.0586593,351.853586,95.22423425,201.1350001,197.5788376,195.9297606,88.89479261,24.84436099
2010-02-01,-0.08571428571428573,174.37999999999997,129.5249078,80.11703622,154.9146622,156.654815,127.5056341,304.8667501,52.46327928,166.6736714,181.909729,250.9204144,25.56934443,137.5630629
2010-02-08,-0.12800000000000003,128.54,129.5249078,80.11703622,154.9146622,156.654815,127.5056341,304.8667501,52.46327928,166.6736714,181.909729,250.9204144,25.56934443,137.5630629
2010-02-15,,173.39714285714285,129.5249078,80.11703622,154.9146622,156.654815,127.5056341,304.8667501,52.46327928,166.6736714,181.909729,250.9204144,25.56934443,137.5630629
2010-02-22,,130.76857142857145,129.5249078,80.11703622,154.9146622,156.654815,127.5056341,304.8667501,52.46327928,166.6736714,181.909729,250.9204144,25.56934443,137.5630629
2010-03-01,-0.08285714285714287,118.12714285714284,95.82079396,44.52599666,108.5558791,109.9768253,86.14142845,231.6541705,40.23300036,151.8937379,136.1746478,143.8198702,49.98270517,65.01046758
2010-03-08,-0.12200000000000003,105.47285714285714,95.82079396,44.52599666,108.5558791,109.9768253,86.14142845,231.6541705,40.23300036,151.8937379,136.1746478,143.8198702,49.98270517,65.01046758
2010-03-15,,100.58714285714287,95.82079396,44.52599666,108.5558791,109.9768253,86.14142845,231.6541705,40.23300036,151.8937379,136.1746478,143.8198702,49.98270517,65.01046758
2010-03-22,,128.17285714285714,95.82079396,44.52599666,108.5558791,109.9768253,86.14142845,231.6541705,40.23300036,151.8937379,136.1746478,143.8198702,49.98270517,65.01046758
2010-03-29,-0.005000000000000001,93.61714285714285,95.82079396,44.52599666,108.5558791,109.9768253,86.14142845,231.6541705,40.23300036,151.8937379,136.1746478,143.8198702,49.98270517,65.01046758
2010-04-05,-0.15285714285714286,80.67999999999999,75.01658031,42.10283668,89.35697002,91.15155558,75.01117632,153.9634493,39.72571734,89.23724673,115.8344526,243.3979698,17.37558141,53.41749777
2010-04-12,-0.08,78.4442857142857,75.01658031,42.10283668,89.35697002,91.15155558,75.01117632,153.9634493,39.72571734,89.23724673,115.8344526,243.3979698,17.37558141,53.41749777
2010-04-19,,83.76714285714286,75.01658031,42.10283668,89.35697002,91.15155558,75.01117632,153.9634493,39.72571734,89.23724673,115.8344526,243.3979698,17.37558141,53.41749777
2010-04-26,0.045,93.27714285714285,75.01658031,42.10283668,89.35697002,91.15155558,75.01117632,153.9634493,39.72571734,89.23724673,115.8344526,243.3979698,17.37558141,53.41749777
2010-05-03,-0.13857142857142857,132.8457142857143,99.73916158,54.59911353,110.2068139,107.0149452,108.402405,129.5260126,60.80493432,92.57645864,170.581372,159.6640869,57.62335267,496.0217834
2010-05-10,-0.11333333333333333,122.72857142857143,99.73916158,54.59911353,110.2068139,107.0149452,108.402405,129.5260126,60.80493432,92.57645864,170.581372,159.6640869,57.62335267,496.0217834
2010-05-17,,94.41857142857143,99.73916158,54.59911353,110.2068139,107.0149452,108.402405,129.5260126,60.80493432,92.57645864,170.581372,159.6640869,57.62335267,496.0217834
2010-05-24,,126.36285714285714,99.73916158,54.59911353,110.2068139,107.0149452,108.402405,129.5260126,60.80493432,92.57645864,170.581372,159.6640869,57.62335267,496.0217834
2010-05-31,-0.06833333333333334,110.37571428571428,99.73916158,54.59911353,110.2068139,107.0149452,108.402405,129.5260126,60.80493432,92.57645864,170.581372,159.6640869,57.62335267,496.0217834
2010-06-07,-0.13333333333333333,144.57857142857142,113.4592534,102.0050105,143.6194281,150.6285,125.3164486,226.5691539,72.2903108,138.8419233,210.2263105,353.0705176,47.27035697,442.2860902
2010-06-14,,125.63142857142857,113.4592534,102.0050105,143.6194281,150.6285,125.3164486,226.5691539,72.2903108,138.8419233,210.2263105,353.0705176,47.27035697,442.2860902
2010-06-21,,126.62428571428572,113.4592534,102.0050105,143.6194281,150.6285,125.3164486,226.5691539,72.2903108,138.8419233,210.2263105,353.0705176,47.27035697,442.2860902
2010-06-28,-0.02,161.4357142857143,113.4592534,102.0050105,143.6194281,150.6285,125.3164486,226.5691539,72.2903108,138.8419233,210.2263105,353.0705176,47.27035697,442.2860902
2010-07-05,-0.15571428571428572,171.86285714285714,156.1082106,159.494038,185.6708357,192.7396405,188.5029136,282.5406377,97.2239337,290.6300962,281.4305707,551.3171045,53.77631311,363.7122258
