Date,SOI_index
2011-03-28,2.035483870967742
2011-04-04,1.8737327188940092
2011-04-11,1.55
2011-04-18,1.2
2011-04-25,0.85
2011-05-02,0.506221198156682
2011-05-09,0.36774193548387096
2011-05-16,0.32258064516129037
2011-05-23,0.2774193548387097
2011-05-30,0.23225806451612904
2011-06-06,0.2580645161290323
2011-06-13,0.44
2011-06-20,0.6266666666666667
2011-06-27,0.8133333333333334
2011-07-04,0.960552995391705
2011-07-11,0.864516129032258
2011-07-18,0.7290322580645162
2011-07-25,0.5935483870967743
2011-08-01,0.45806451612903226
2011-08-08,0.4774193548387097
2011-08-15,0.6129032258064516
2011-08-22,0.7483870967741935
2011-08-29,0.8838709677419355
2011-09-05,0.9821812596006144
2011-09-12,0.9466666666666667
2011-09-19,0.9
2011-09-26,0.8533333333333334
2011-10-03,0.8136712749615976
2011-10-10,0.8580645161290323
2011-10-17,0.9258064516129033
2011-10-24,0.9935483870967742
2011-10-31,1.0612903225806452
2011-11-07,1.24
2011-11-14,1.5666666666666667
2011-11-21,1.8933333333333333
2011-11-28,2.22
2011-12-05,2.415483870967742
2011-12-12,2.1387096774193552
2011-12-19,1.8225806451612903
2011-12-26,1.5064516129032257
2012-01-02,1.194009216589862
2012-01-09,1.003225806451613
2012-01-16,0.867741935483871
2012-01-23,0.7322580645161291
2012-01-30,0.5967741935483871
2012-02-06,0.517543302081678
2012-02-13,0.5620689655172414
2012-02-20,0.6103448275862069
2012-02-27,0.6586206896551723
2012-03-05,0.6509613856666137
2012-03-12,0.4419354838709677
2012-03-19,0.21612903225806443
2012-03-26,-0.009677419354838795
2012-04-02,-0.229447004608295
2012-04-09,-0.25
2012-04-16,-0.18
2012-04-23,-0.11
2012-04-30,-0.04
2012-05-07,-0.03870967741935484
2012-05-14,-0.12903225806451615
2012-05-21,-0.21935483870967745
2012-05-28,-0.3096774193548387
2012-06-04,-0.3775115207373272
2012-06-11,-0.3066666666666667
2012-06-18,-0.21333333333333335
2012-06-25,-0.12000000000000001
2012-07-02,-0.029493087557603694
2012-07-09,-0.03225806451612903
2012-07-16,-0.07741935483870968
2012-07-23,-0.12258064516129033
2012-07-30,-0.16774193548387098
2012-08-06,-0.17142857142857146
2012-08-13,-0.08387096774193549
2012-08-20,0.0064516129032258
2012-08-27,0.0967741935483871
2012-09-03,0.18299539170506912
2012-09-10,0.22
2012-09-17,0.24333333333333335
2012-09-24,0.26666666666666666
2012-10-01,0.29
2012-10-08,0.3
2012-10-15,0.3
2012-10-22,0.3
2012-10-29,0.3
2012-11-05,0.2571428571428572
2012-11-12,0.060000000000000005
2012-11-19,-0.14999999999999997
2012-11-26,-0.35999999999999993
2012-12-03,-0.5502304147465438
2012-12-10,-0.5032258064516129
2012-12-17,-0.39032258064516123
2012-12-24,-0.27741935483870966
2012-12-31,-0.16451612903225804
2013-01-07,-0.10967741935483873
2013-01-14,-0.13225806451612904
2013-01-21,-0.15483870967741936
2013-01-28,-0.1774193548387097
2013-02-04,-0.14519420671494407
2013-02-11,0.22499999999999995
2013-02-18,0.6499999999999998
2013-02-25,1.075
2013-03-04,1.41201448321264
2013-03-11,1.206451612903226
2013-03-18,0.9129032258064517
2013-03-25,0.6193548387096774
2013-04-01,0.3258064516129032
2013-04-08,0.28
2013-04-15,0.42000000000000004
2013-04-22,0.56
2013-04-29,0.7000000000000001
2013-05-06,0.8247926267281106
2013-05-13,0.9161290322580645
2013-05-20,1.0064516129032257
2013-05-27,1.0967741935483872
2013-06-03,1.175852534562212
2013-06-10,1.1199999999999999
2013-06-17,1.0266666666666666
2013-06-24,0.9333333333333333
2013-07-01,0.8400000000000001
2013-07-08,0.7225806451612904
2013-07-15,0.5870967741935483
2013-07-22,0.45161290322580644
2013-07-29,0.31612903225806444
2013-08-05,0.2129032258064516
2013-08-12,0.22580645161290322
2013-08-19,0.24838709677419354
2013-08-26,0.27096774193548384
2013-09-02,0.2911827956989247
2013-09-09,0.23333333333333334
2013-09-16,0.13999999999999999
2013-09-23,0.04666666666666664
2013-09-30,-0.0466666666666667
2013-10-07,-0.022580645161290342
2013-10-14,0.1580645161290322
2013-10-21,0.3387096774193548
2013-10-28,0.5193548387096774
2013-11-04,0.6607373271889401
2013-11-11,0.5599999999999999
2013-11-18,0.42
2013-11-25,0.27999999999999997
2013-12-02,0.1488479262672811
2013-12-09,0.30967741935483867
2013-12-16,0.6032258064516128
2013-12-23,0.8967741935483869
2013-12-30,1.190322580645161
2014-01-06,1.304147465437788
2014-01-13,1.0225806451612904
2014-01-20,0.7290322580645162
2014-01-27,0.43548387096774205
2014-02-03,0.144601711652403
2014-02-10,-0.11428571428571428
2014-02-17,-0.36428571428571427
2014-02-24,-0.6142857142857142
2014-03-03,-0.8254772876892692
2014-03-10,-0.5709677419354838
2014-03-17,-0.18709677419354837
2014-03-24,0.1967741935483871
2014-03-31,0.5806451612903226
2014-04-07,0.7700000000000001
2014-04-14,0.7000000000000001
2014-04-21,0.63
2014-04-28,0.5599999999999999
2014-05-05,0.49046082949308756
2014-05-12,0.4225806451612903
2014-05-19,0.3548387096774194
2014-05-26,0.2870967741935484
2014-06-02,0.2188325652841782
2014-06-09,0.13333333333333333
2014-06-16,0.04
2014-06-23,-0.05333333333333333
2014-06-30,-0.14666666666666667
2014-07-07,-0.24838709677419354
2014-07-14,-0.3612903225806452
2014-07-21,-0.47419354838709676
2014-07-28,-0.5870967741935483
2014-08-04,-0.6861751152073732
2014-08-11,-0.7
2014-08-18,-0.7
2014-08-25,-0.7
2014-09-01,-0.7
2014-09-08,-0.6866666666666666
2014-09-15,-0.6633333333333332
2014-09-22,-0.6399999999999999
2014-09-29,-0.6166666666666666
2014-10-06,-0.6212135176651306
2014-10-13,-0.6870967741935484
2014-10-20,-0.7548387096774194
2014-10-27,-0.8225806451612903
2014-11-03,-0.881889400921659
2014-11-10,-0.84
2014-11-17,-0.7700000000000001
2014-11-24,-0.7
2014-12-01,-0.63
2014-12-08,-0.6258064516129033
2014-12-15,-0.6709677419354839
2014-12-22,-0.7161290322580645
2014-12-29,-0.7612903225806452
2015-01-05,-0.7511520737327189
2015-01-12,-0.5419354838709678
2015-01-19,-0.3161290322580645
2015-01-26,-0.0903225806451613
2015-02-02,0.1262837393021725
2015-02-09,0.03928571428571432
2015-02-16,-0.18571428571428564
2015-02-23,-0.4107142857142856
2015-03-02,-0.6278966425279788
2015-03-09,-0.5870967741935483
2015-03-16,-0.4290322580645161
2015-03-23,-0.27096774193548384
2015-03-30,-0.11290322580645158
2015-04-06,-0.0532258064516129
2015-04-13,-0.21
2015-04-20,-0.37333333333333335
2015-04-27,-0.5366666666666667
2015-05-04,-0.6772350230414746
2015-05-11,-0.6774193548387096
2015-05-18,-0.6548387096774194
2015-05-25,-0.632258064516129
2015-06-01,-0.6096774193548387
2015-06-08,-0.6666666666666667
2015-06-15,-0.7833333333333333
2015-06-22,-0.9000000000000001
2015-06-29,-1.0166666666666668
2015-07-06,-1.1183563748079879
2015-07-13,-1.1870967741935485
2015-07-20,-1.2548387096774192
2015-07-27,-1.3225806451612903
2015-08-03,-1.3889400921658985
2015-08-10,-1.4387096774193548
2015-08-17,-1.4838709677419355
2015-08-24,-1.5290322580645161
2015-08-31,-1.5741935483870968
2015-09-07,-1.61
2015-09-14,-1.6333333333333333
2015-09-21,-1.6566666666666667
2015-09-28,-1.68
2015-10-05,-1.6432718894009215
2015-10-12,-1.3903225806451613
2015-10-19,-1.1193548387096774
2015-10-26,-0.8483870967741935
2015-11-02,-0.5834254992319509
2015-11-09,-0.5166666666666667
2015-11-16,-0.5399999999999999
2015-11-23,-0.5633333333333334
2015-11-30,-0.5866666666666667
2015-12-07,-0.7548387096774193
2015-12-14,-1.1161290322580644
2015-12-21,-1.4774193548387096
2015-12-28,-1.8387096774193548
2016-01-04,-2.150230414746544
2016-01-11,-2.1548387096774198
2016-01-18,-2.109677419354839
2016-01-25,-2.0645161290322585
2016-02-01,-2.019354838709677
2016-02-08,-1.7379310344827588
2016-02-15,-1.2793103448275862
2016-02-22,-0.8206896551724139
2016-02-29,-0.3620689655172415
2016-03-07,-0.2064516129032258
2016-03-14,-0.4548387096774193
2016-03-21,-0.7032258064516128
2016-03-28,-0.9516129032258063
2016-04-04,-1.1238709677419354
2016-04-11,-0.8266666666666665
2016-04-18,-0.45333333333333325
2016-04-25,-0.07999999999999992
2016-05-02,0.2866359447004609
2016-05-09,0.432258064516129
2016-05-16,0.4774193548387097
2016-05-23,0.5225806451612903
2016-05-30,0.567741935483871
2016-06-06,0.5847926267281106
2016-06-13,0.5399999999999999
2016-06-20,0.49333333333333335
2016-06-27,0.4466666666666667
2016-07-04,0.4140092165898618
2016-07-11,0.467741935483871
2016-07-18,0.5354838709677419
2016-07-25,0.603225806451613
2016-08-01,0.6709677419354838
2016-08-08,0.7645161290322581
2016-08-15,0.8774193548387096
2016-08-22,0.9903225806451612
2016-08-29,1.103225806451613
2016-09-05,1.1216589861751152
2016-09-12,0.7999999999999999
2016-09-19,0.45
2016-09-26,0.10000000000000002
2016-10-03,-0.22580645161290322
2016-10-10,-0.26129032258064516
2016-10-17,-0.2161290322580645
2016-10-24,-0.17096774193548386
2016-10-31,-0.12580645161290324
2016-11-07,-0.060000000000000005
2016-11-14,0.03333333333333333
2016-11-21,0.12666666666666668
2016-11-28,0.22
2016-12-05,0.2896774193548387
2016-12-12,0.2741935483870968
2016-12-19,0.25161290322580643
2016-12-26,0.22903225806451613
2017-01-02,0.20552995391705073
2017-01-09,0.15161290322580645
2017-01-16,0.08387096774193548
2017-01-23,0.01612903225806449
2017-01-30,-0.051612903225806486
2017-02-06,-0.022086899275839383
2017-02-13,0.2214285714285714
2017-02-20,0.4714285714285714
2017-02-27,0.7214285714285714
2017-03-06,0.8188610928242265
2017-03-13,0.5806451612903226
2017-03-20,0.332258064516129
2017-03-27,0.08387096774193545
2017-04-03,-0.14216589861751155
2017-04-10,-0.10000000000000002
2017-04-17,0.016666666666666653
2017-04-24,0.13333333333333333
