series,n_obs,adf_statistic,p_value,critical_1%,critical_5%,critical_10%,stationary,trend_exists,crop,session,state,variable,category
corn_planting_HI_AWND,468,-7.294072102933474,1.3927234846980083e-10,-3.44455286264131,-2.8678027030003483,-2.5701057817594894,Yes,No,corn,planting,HI,AWND,Corn Planting
corn_planting_IA_TMAX,468,-4.006739854388419,0.00137562769037098,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,IA,TMAX,Corn Planting
corn_planting_IA_TMIN,468,-5.121689052614301,1.267743709217081e-05,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,IA,TMIN,Corn Planting
corn_planting_IA_AWND,468,-4.488231839360694,0.0002064952949336662,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,IA,AWND,Corn Planting
corn_planting_ID_TMAX,468,-5.411690673578821,3.200866868072012e-06,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,ID,TMAX,Corn Planting
corn_planting_ID_TMIN,468,-4.251208528542545,0.0005390415348540841,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,ID,TMIN,Corn Planting
corn_planting_ID_AWND,468,-3.8029650535139483,0.0028771238873277895,-3.4445220811896657,-2.8677891615873192,-2.5700985643950656,Yes,No,corn,planting,ID,AWND,Corn Planting
corn_planting_IL_TMAX,468,-4.175833983990538,0.0007237879822947499,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,IL,TMAX,Corn Planting
corn_planting_IL_TMIN,468,-4.0278905895275,0.001271307008826982,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,IL,TMIN,Corn Planting
corn_planting_IL_AWND,468,-4.300151902378664,0.00044394337025591694,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,IL,AWND,Corn Planting
corn_planting_IN_TMAX,468,-4.4066452291113904,0.00028889696216554615,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,IN,TMAX,Corn Planting
corn_planting_IN_TMIN,468,-4.21813469181817,0.0006138433423803975,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,IN,TMIN,Corn Planting
corn_planting_IN_AWND,468,-3.625972567826632,0.005283466548167949,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,IN,AWND,Corn Planting
corn_planting_KS_TMAX,468,-3.9909517690026144,0.0014586386094271517,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,KS,TMAX,Corn Planting
corn_planting_KS_TMIN,468,-5.169427160067418,1.0147661245001093e-05,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,KS,TMIN,Corn Planting
